PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,BP
48.25,70.5,0.7,31.52,17.35,17.88,5.2,0.33,44.08,0.2,0.4,27.1,89,1.63,76.75,713
55,78,0.42,32.2,17.5,17.95,5.72,0.32,44.24,0.2,0.38,27.08,90,1.68,76.75,712.5
57,79.5,0.47,29.63,16.1,18.07,4.43,0.35,44.02,0.2,0.43,24.9,89.75,1.62,79.5,712
61,81.25,0.53,23.22,12.75,16.6,3.65,0.32,42.34,0.2,0.4,21.67,90.75,1.88,80,712
55.5,72.75,0.9,22.93,12.93,16.3,4.23,0.42,41.54,0.2,0.42,21.98,87.75,1.57,85,712
56.25,72,0.9,24.9,14,15.4,4.17,0.38,45.21,0.15,0.35,21.7,87.5,1.67,71,712
56.25,75,1,28.7,16.07,18.55,5.9,0.41,43.34,0.2,0.35,23.43,89.25,1.47,73.5,712.5
61.75,82.75,0.75,39.7,21.72,18.4,4.22,0.52,42.38,0.17,0.32,26.88,89.25,1.35,71.75,713.25
60,81.75,1.02,42.23,23.3,17.93,5.63,0.51,46.77,0.2,0.43,27.02,82.25,1.93,83.5,714
64.5,89.5,0.53,41.38,22.45,17.65,5.47,0.48,45.14,0.2,0.43,26.77,71.5,2.23,83,714.25
60.75,92,0.98,38.88,21.45,17.65,3.7,0.54,45.07,0.22,0.5,24.33,65.5,1.77,98,714.75
61.25,101.25,0.62,30.98,16.98,15.4,2.3,0.45,45.05,0.2,0.47,20.47,56.5,2.25,90.5,714
53.5,90.5,0.55,28.3,15.5,14.33,3.07,0.42,44.77,0.2,0.47,19.98,51.5,2.35,90.75,713.25
47.25,79,0.65,26.4,14.57,13.45,2.62,0.27,45.15,0.2,0.5,20,50.25,2.52,91.5,712.25
49.5,68.5,0.78,27.85,15.43,14.4,3.17,0.23,43.03,0.2,0.4,20.75,49.25,2.33,82.5,711.5
46.25,72.75,0.93,35.62,19.7,16.65,2.73,0.31,41.72,0.2,0.45,26.43,49.75,2.15,87,711
49.5,73.5,0.7,42.82,23.32,17,4.23,0.44,43.33,0.2,0.4,26.8,50.25,2.12,81.75,711
48.25,79,0.57,45.98,24.92,17.25,4.47,0.43,44.9,0.17,0.4,26.8,55.5,1.85,78.5,711
52.25,86.25,0.92,51.42,28.1,16.83,3.93,0.65,43.07,0.2,0.32,24.78,60.25,1.57,71.25,712
61.75,99.75,1,40.53,22.38,15.47,2.92,0.73,46.45,0.2,0.35,21.23,65.25,1.35,70.5,712.5
